OBJECTID,Latitude,Longitude,StopID,Stop_name,Direction,WkdyService,SatService,SunService,Mode,Routes_ser,Community_Name,Community_Type,Full_Label
669,40.427841,-79.887283,E17780,EDGEWOOD TOWNE CENTRE AT LAUNDRY ROOM,Both,Yes,Yes,Yes,Bus,"71, P71",EDGEWOOD,BOROUGH,Edgewood Borough
670,40.426666,-79.88768,E17790,EDGEWOOD TOWNE CENTRE AT RENT WAY,Both,Yes,Yes,Yes,Bus,"71, P71",EDGEWOOD,BOROUGH,Edgewood Borough
671,40.402899,-79.837551,E17940,ELECTRIC AVE AT GREEK CATHOLIC CHURCH,Outbound,Yes,Yes,Yes,Bus,"69, P69",NORTH BRADDOCK,BOROUGH,North Braddock Borough
672,40.40221,-79.836619,E17965,ELECTRIC AVE OPP ELECTRIC AVENUE APARTMENTS,Inbound,Yes,Yes,Yes,Bus,"69, P69",EAST PITTSBURGH,BOROUGH,East Pittsburgh Borough
673,40.405326,-79.838921,E17970,ELECTRIC AVE AT NORTH AVE,Inbound,Yes,Yes,Yes,Bus,"69, P69",NORTH BRADDOCK,BOROUGH,North Braddock Borough
674,40.401154,-79.834834,E18010,ELECTRIC AVE OPP DYNAMO WAY,Inbound,Yes,Yes,Yes,Bus,"69, P69",EAST PITTSBURGH,BOROUGH,East Pittsburgh Borough
675,40.402738,-79.83724,E18020,ELECTRIC AVE AT OLYMPIA HALL,Inbound,Yes,Yes,Yes,Bus,"69, P69",WILKINS,TOWNSHIP,Wilkins Township
676,40.402065,-79.836732,E18025,ELECTRIC AVE AT ELECTRIC AVENUE APARTMENTS,Outbound,Yes,Yes,Yes,Bus,"69, P69",EAST PITTSBURGH,BOROUGH,East Pittsburgh Borough
677,40.405463,-79.839374,E18040,ELECTRIC AVE OPP NORTH AVE,Outbound,Yes,Yes,Yes,Bus,"69, P69",NORTH BRADDOCK,BOROUGH,North Braddock Borough
678,40.464467,-79.950631,E18270,ELLA ST AT FRIENDSHIP AVE FS,Inbound,Yes,Yes,Yes,Bus,87,BLOOMFIELD,HOOD,Bloomfield Neighborhood
679,40.463324,-79.951812,E18280,ELLA ST AT LIBERTY AVE,Inbound,Yes,Yes,Yes,Bus,87,BLOOMFIELD,HOOD,Bloomfield Neighborhood
680,40.452813,-79.936656,E18400,ELLSWORTH AVE AT AIKEN AVE,Inbound,Yes,Yes,Yes,Bus,75,SHADYSIDE,HOOD,Shadeyside Neighborhood
681,40.452551,-79.936853,E18410,ELLSWORTH AVE AT AIKEN AVE,Outbound,Yes,Yes,Yes,Bus,75,SHADYSIDE,HOOD,Shadeyside Neighborhood
682,40.451387,-79.940904,E18420,ELLSWORTH AVE AT AMBERSON AVE,Inbound,Yes,Yes,Yes,Bus,75,SHADYSIDE,HOOD,Shadeyside Neighborhood
683,40.451209,-79.941072,E18430,ELLSWORTH AVE AT AMBERSON AVE,Outbound,Yes,Yes,Yes,Bus,75,SHADYSIDE,HOOD,Shadeyside Neighborhood
684,40.448496,-79.94695,E18450,ELLSWORTH AVE AT CATHEDRAL MANSIONS,Outbound,Yes,Yes,Yes,Bus,75,SHADYSIDE,HOOD,Shadeyside Neighborhood
685,40.456947,-79.929386,E18470,ELLSWORTH AVE AT COLLEGE ST,Outbound,Yes,Yes,Yes,Bus,75,SHADYSIDE,HOOD,Shadeyside Neighborhood
686,40.451945,-79.939179,E18480,ELLSWORTH AVE AT COLONIAL PL,Inbound,Yes,Yes,Yes,Bus,75,SHADYSIDE,HOOD,Shadeyside Neighborhood
687,40.450505,-79.944924,E18490,ELLSWORTH AVE AT DEVONSHIRE ST,Inbound,Yes,Yes,Yes,Bus,75,SHADYSIDE,HOOD,Shadeyside Neighborhood
688,40.450299,-79.945092,E18500,ELLSWORTH AVE AT DEVONSHIRE ST,Outbound,Yes,Yes,Yes,Bus,75,SHADYSIDE,HOOD,Shadeyside Neighborhood
689,40.451853,-79.93891,E18510,ELLSWORTH AVE AT ELLSWORTH PL,Outbound,Yes,Yes,Yes,Bus,75,SHADYSIDE,HOOD,Shadeyside Neighborhood
690,40.453761,-79.934378,E18520,ELLSWORTH AVE AT FILBERT ST,Outbound,Yes,Yes,Yes,Bus,75,SHADYSIDE,HOOD,Shadeyside Neighborhood
691,40.453746,-79.934735,E18530,ELLSWORTH AVE AT GRAHAM ST,Inbound,Yes,Yes,Yes,Bus,75,SHADYSIDE,HOOD,Shadeyside Neighborhood
692,40.456189,-79.930763,E18560,ELLSWORTH AVE AT MARYLAND AVE,Inbound,Yes,Yes,Yes,Bus,75,SHADYSIDE,HOOD,Shadeyside Neighborhood
693,40.455914,-79.930907,E18570,ELLSWORTH AVE AT MARYLAND AVE,Outbound,Yes,Yes,Yes,Bus,75,SHADYSIDE,HOOD,Shadeyside Neighborhood
694,40.450962,-79.942936,E18580,ELLSWORTH AVE AT MOREWOOD AVE,Inbound,Yes,Yes,Yes,Bus,75,SHADYSIDE,HOOD,Shadeyside Neighborhood
695,40.450793,-79.943157,E18590,ELLSWORTH AVE AT MOREWOOD AVE,Outbound,Yes,Yes,Yes,Bus,75,SHADYSIDE,HOOD,Shadeyside Neighborhood
696,40.454873,-79.932406,E18600,ELLSWORTH AVE AT NEGLEY AVE,Inbound,Yes,Yes,Yes,Bus,75,SHADYSIDE,HOOD,Shadeyside Neighborhood
697,40.454587,-79.932692,E18610,ELLSWORTH AVE AT NEGLEY AVE,Outbound,Yes,Yes,Yes,Bus,75,SHADYSIDE,HOOD,Shadeyside Neighborhood
698,40.44813,-79.947629,E18620,ELLSWORTH AVE AT NEVILLE ST,Inbound,Yes,Yes,Yes,Bus,75,SHADYSIDE,HOOD,Shadeyside Neighborhood
699,40.455306,-79.931719,E18625,ELLSWORTH AVE AT SUMMERLEA ST,Inbound,Yes,Yes,Yes,Bus,75,SHADYSIDE,HOOD,Shadeyside Neighborhood
700,40.455043,-79.931821,E18627,ELLSWORTH AVE AT SUMMERLEA ST,Outbound,Yes,Yes,Yes,Bus,75,SHADYSIDE,HOOD,Shadeyside Neighborhood
701,40.448951,-79.946723,E18630,ELLSWORTH AVE OPP CLYDE ST,Inbound,Yes,Yes,Yes,Bus,75,SHADYSIDE,HOOD,Shadeyside Neighborhood
702,40.47898,-79.917783,E18850,EUCLID AVE AT BUNKERHILL ST,Outbound,Yes,Yes,Yes,Bus,"71A, 71B",HIGHLAND PARK,HOOD,Highland Park Neighborhood
703,40.47704,-79.918917,E18870,EUCLID AVE AT CALLOWHILL ST,Outbound,Yes,Yes,Yes,Bus,"71A, 71B",HIGHLAND PARK,HOOD,Highland Park Neighborhood
704,40.432675,-79.794318,E18905,EXPOMART DR AT WEST ENTRANCE,Outbound,Yes,No,No,Bus,"67, P67",MONROEVILLE,MUNICIPALI,Monroeville Municipality
705,40.43265,-79.793884,E18907,EXPOMART DR AT WEST ENTRANCE,Inbound,Yes,No,No,Bus,"67, P67",MONROEVILLE,MUNICIPALI,Monroeville Municipality
706,40.466706,-79.705948,E18965,OLD ABERS CREEK RD AT HOLIDAY PARK VFD,Both,Yes,No,No,Bus,P12,PLUM,BOROUGH,Plum Borough
707,40.473153,-79.708102,E18970,FIESTA DR AT #251,Both,Yes,No,No,Bus,P12,PLUM,BOROUGH,Plum Borough
708,40.474789,-79.709075,E18980,FIESTA DR OPP RIVIERA DR,Both,Yes,Yes,Yes,Bus,P12,PLUM,BOROUGH,Plum Borough
709,40.471671,-79.707546,E19010,FIESTA DR OPP SUN VALLEY DR,Both,Yes,Yes,Yes,Bus,P12,PLUM,BOROUGH,Plum Borough
710,40.440939,-79.957623,E19130,FORBES AVE AT ATWOOD ST,Both,Yes,Yes,Yes,Bus,"28X, 58, 61A, 61B, 61C, 61D, 67, 69",CENTRAL OAKLAND,HOOD,Central Oakland Neighborhood
711,40.438096,-79.91602,E19150,FORBES AVE AT BEECHWOOD BLVD,Inbound,Yes,Yes,Yes,Bus,"61A, 61B",SQUIRREL HILL NORTH,HOOD,Squirrel Hill North Neighborhood
712,40.43796,-79.916337,E19160,FORBES AVE AT BEECHWOOD BLVD,Outbound,Yes,Yes,Yes,Bus,"61A, 61B",SQUIRREL HILL SOUTH,HOOD,Squirrel Hill South Neighborhood
713,40.443774,-79.938604,E19170,FORBES AVE AT BEELER ST,Inbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D",SQUIRREL HILL NORTH,HOOD,Squirrel Hill North Neighborhood
714,40.443052,-79.953663,E19200,FORBES AVE AT BIGELOW BLVD (SCHENLEY DR),Both,Yes,Yes,Yes,Bus,"28X, 58, 61A, 61B, 61C, 61D, 67, 69",CENTRAL OAKLAND,HOOD,Central Oakland Neighborhood
715,40.442062,-79.956097,E19210,FORBES AVE AT BOUQUET ST FS,Both,Yes,Yes,Yes,Bus,"28X, 58, 61A, 61B, 61C, 61D, 67, 69",CENTRAL OAKLAND,HOOD,Central Oakland Neighborhood
716,40.437939,-79.993457,E19220,FORBES AVE AT BOYD ST (DUQUESNE UNIV),Outbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D, 71A, 71B, 71C, 71D",BLUFF,HOOD,Bluff Neighborhood
717,40.439742,-79.897551,E19230,FORBES AVE AT BRADDOCK AVE,Inbound,Yes,Yes,Yes,Bus,61A,POINT BREEZE,HOOD,Point Breese Neighborhood
718,40.439509,-79.897996,E19260,FORBES AVE AT BRADDOCK AVE,Outbound,Yes,Yes,Yes,Bus,61B,REGENT SQUARE,HOOD,Regent Square Neighborhood
719,40.439746,-79.898088,E19270,FORBES AVE AT BRADDOCK AVE FS,Inbound,Yes,Yes,Yes,Bus,"61A, 61B",POINT BREEZE,HOOD,Point Breese Neighborhood
720,40.437264,-79.962711,E19310,FORBES AVE AT CRAFT AVE FS,Both,Yes,Yes,Yes,Bus,"28X, 61A, 61B, 61C, 61D, 67, 69, 81, 83",SOUTH OAKLAND,HOOD,South Oakland Neighborhood
721,40.444547,-79.948475,E19320,FORBES AVE AT CRAIG ST,Both,Yes,Yes,Yes,Bus,"28X, 58, 61A, 61B, 61C, 61D, 67, 69",NORTH OAKLAND,HOOD,North Oakland Neighborhood
722,40.438108,-79.912884,E19340,FORBES AVE AT DALLAS AVE,Inbound,Yes,Yes,Yes,Bus,"61A, 61B",POINT BREEZE,HOOD,Point Breese Neighborhood
723,40.437901,-79.913265,E19350,FORBES AVE AT DALLAS AVE,Outbound,Yes,Yes,Yes,Bus,"61A, 61B",SQUIRREL HILL SOUTH,HOOD,Squirrel Hill South Neighborhood
724,40.43809,-79.918176,E19360,FORBES AVE BTW DENNISTON ST & SHADY AVE,Inbound,Yes,Yes,Yes,Bus,"61A, 61B",SQUIRREL HILL NORTH,HOOD,Squirrel Hill North Neighborhood
725,40.437937,-79.917844,E19370,FORBES AVE AT DENNISTON ST,Outbound,Yes,Yes,Yes,Bus,"61A, 61B",SQUIRREL HILL SOUTH,HOOD,Squirrel Hill South Neighborhood
