Route,inbound_trips,outbound_trips,inbound_start,outbound_start,inbound_pk_headway,inbound_offpk_headway,outbound_pk_headway,outbound_offpk_headway,PV,inbound_pk_time,inbound_offpk_time,outbound_pk_time,outbound_offpk_time
G31,13,13,05:51:00,06:40:00,16.644599303135887,14.723577235772357,16.283549783549784,-,7,50.77777777777778,49.75,46.46153846153846,-
O1,19,23,05:39:00,14:33:00,9.95959595959596,10.092592592592593,10.47305389221557,13.542857142857143,3,23.833333333333332,20.714285714285715,25.11111111111111,22.0
O12,24,29,05:32:00,06:07:00,13.94854586129754,9.951965065502183,9.660714285714286,12.222222222222221,9,34.4375,35.5,36.42857142857143,30.5
O5,3,3,06:27:00,16:15:00,30.0,-,30.162337662337663,-,2,48.0,48.0,48.333333333333336,-
P1,135,125,04:46:00,05:08:00,6.195652173913044,11.314720812182742,5.949462365591398,12.565113500597372,21,20.90625,21.071428571428573,27.390625,25.06779661016949
P2,23,19,06:35:00,06:36:00,7.476190476190476,-,7.470588235294118,-,7,20.0,20.0,22.0,22.0
P10,12,12,05:06:00,06:28:00,20.486631016042782,16.710955710955712,18.518238993710693,-,8,65.0,85.2,74.54545454545455,35.0
P12,18,20,05:02:00,06:15:00,15.222448979591837,18.931818181818183,12.94662480376766,-,11,55.0,58.8,62.470588235294116,54.666666666666664
P13,7,7,05:41:00,15:40:00,20.0,26.058333333333334,20.833333333333332,-,3,46.0,40.0,46.142857142857146,-
P16,14,14,04:54:00,15:10:00,17.871345029239766,19.52445652173913,20.90909090909091,-,9,67.0,69.85714285714286,67.71428571428571,-
P17,7,7,05:28:00,15:05:00,29.569506726457398,29.08724832214765,29.86829268292683,-,2,51.5,51.666666666666664,35.333333333333336,36.0
P3,55,58,05:29:00,06:00:00,12.028571428571428,23.466666666666665,10.530089628681178,26.243119266055047,9,29.46875,27.0,28.11111111111111,26.136363636363637
P67,9,10,05:48:00,06:35:00,22.488372093023255,19.055555555555557,21.460714285714285,-,5,44.833333333333336,48.0,52.0,34.0
P68,28,21,05:39:00,06:38:00,46.413306451612904,54.712,35.10981912144703,64.0733137829912,6,47.9,38.72222222222222,63.63636363636363,60.9
P69,8,4,05:41:00,16:12:00,32.72781065088758,-,33.406392694063925,-,4,32.57142857142857,64.0,59.25,-
P7,15,14,05:25:00,06:20:00,25.379166666666666,28.716666666666665,26.862264150943396,-,5,54.6,54.6,47.833333333333336,45.0
P71,18,12,05:56:00,06:38:00,24.15748031496063,20.0,22.553639846743295,-,6,26.571428571428573,32.25,42.25,-
P76,22,12,05:32:00,06:35:00,15.56563245823389,16.976608187134502,17.142592592592592,-,13,37.125,43.666666666666664,61.583333333333336,-
P78,27,23,04:47:00,05:40:00,28.664981036662454,48.86837881219904,27.45194805194805,57.84415584415584,7,48.666666666666664,52.083333333333336,55.583333333333336,51.90909090909091
Y1,16,9,05:47:00,15:40:00,19.602649006622517,22.551724137931036,19.50462962962963,-,8,24.076923076923077,36.333333333333336,50.77777777777778,-
Y45,12,6,05:21:00,15:40:00,30.793650793650794,28.028301886792452,33.03636363636364,-,3,24.375,39.75,46.833333333333336,-
Y46,34,32,04:28:00,05:27:00,27.253012048192772,37.475474683544306,27.298342541436465,42.052389705882355,7,66.0,65.75,62.5,56.388888888888886
Y47,24,24,05:07:00,05:57:00,33.515625,47.0,30.96842105263158,53.760233918128655,4,57.3,54.142857142857146,47.5,44.25
Y49,24,24,05:15:00,06:08:00,38.70601851851852,48.25252525252525,30.233333333333334,60.14609053497942,5,58.4,55.714285714285715,50.5,47.166666666666664
