District,District Name,StopID,StopName,Routes Impacted
6,Hazelwood,E58050,WINTERBURN AVE AT BIGELOW ST,58
7,Squirrel Hill,E58060,WINTERBURN AVE AT BLANTON ST,58
6,Hazelwood,E58070,WINTERBURN AVE AT CONNOR ST,58
6,Hazelwood,E58080,WINTERBURN AVE AT DENMARSH ST,58
6,Hazelwood,E58090,WINTERBURN AVE AT FARNSWORTH ST FS,58
7,Squirrel Hill,E58100,WINTERBURN AVE AT GREENFIELD AVE,58
6,Hazelwood,E58120,WINTERBURN AVE AT MINNESOTA ST,58
6,Hazelwood,E58130,WINTERBURN AVE OPP BLANTON ST,58
7,Squirrel Hill,E58140,WINTERBURN AVE OPP CONNOR ST,58
7,Squirrel Hill,E58150,WINTERBURN AVE OPP FARNSWORTH ST,58
19,Monroeville Pitcairn Turtle Creek,E58240,WM PENN HWY OPP VALUE CITY,67
19,Monroeville Pitcairn Turtle Creek,E58260,WILLIAM PENN HWY OPP JADENS II,P12
19,Monroeville Pitcairn Turtle Creek,E58350,WM PENN HWY AT CENTER RD FS,67
20,Wilkinsburg Wilkins Braddock and vicinity,E58360,WILLIAM PENN HWY AT CHURCHILL BORO BLDG,"67, P12, P16, P67"
20,Wilkinsburg Wilkins Braddock and vicinity,E58370,WM PENN HWY AT HOME DEPOT,"67, P67"
19,Monroeville Pitcairn Turtle Creek,E58380,WM PENN HWY AT DENNY'S,67
19,Monroeville Pitcairn Turtle Creek,E58385,WM PENN HWY AT DUFF RD,67
19,Monroeville Pitcairn Turtle Creek,E58390,WM PENN HWY AT DOLLAR BANK,67
19,Monroeville Pitcairn Turtle Creek,E58400,WM PENN HWY AT NORTHERN PIKE FS,67
19,Monroeville Pitcairn Turtle Creek,E58410,WILLIAM PENN HWY AT ELLIOTT RD,P12
20,Wilkinsburg Wilkins Braddock and vicinity,E58440,WM PENN HWY AT GRAHAM BLVD,"67, P12, P16, P67"
20,Wilkinsburg Wilkins Braddock and vicinity,E58450,WM PENN HWY AT GRAHAM BLVD FS,"67, P12, P16, P67"
20,Wilkinsburg Wilkins Braddock and vicinity,E58480,WM PENN HWY AT HAWTHORNE DR,P67
20,Wilkinsburg Wilkins Braddock and vicinity,E58560,WM PENN HWY AT KINGSTON DR FS,"67, P67"
20,Wilkinsburg Wilkins Braddock and vicinity,E58575,WM PENN HWY AT MCCREA DR,"67, P12, P16, P67"
20,Wilkinsburg Wilkins Braddock and vicinity,E58590,WM PENN HWY AT PEP BOYS,"67, P67"
20,Wilkinsburg Wilkins Braddock and vicinity,E58650,WM PENN HWY AT NOTTINGHAM DR,"67, P67"
20,Wilkinsburg Wilkins Braddock and vicinity,E58665,WM PENN HWY AT OLD GATE RD,"67, P12, P16, P67"
20,Wilkinsburg Wilkins Braddock and vicinity,E58700,WM PENN HWY AT PENN CENTER BLVD NS (DONUT SHO,P67
19,Monroeville Pitcairn Turtle Creek,E58705,WM PENN HWY AT KIA DEALERSHIP,"67, P67"
19,Monroeville Pitcairn Turtle Creek,E58710,WM PENN HWY AT SAM'S WAREHOUSE DRVWY,"67, P67"
19,Monroeville Pitcairn Turtle Creek,E58720,WM PENN HWY AT KOHL'S DRVWY,"67, P67"
19,Monroeville Pitcairn Turtle Creek,E58725,WM PENN HWY OPP RITE AID,67
19,Monroeville Pitcairn Turtle Creek,E58730,WM PENN HWY AT #4155 (PANDA EXPRESS),67
19,Monroeville Pitcairn Turtle Creek,E58780,WM PENN HWY AT RED LOBSTER,67
20,Wilkinsburg Wilkins Braddock and vicinity,E58790,WM PENN HWY AT RODI RD FS,"67, P67"
19,Monroeville Pitcairn Turtle Creek,E58850,WM PENN HWY AT STROSCHEIN RD,67
19,Monroeville Pitcairn Turtle Creek,E58890,WM PENN HWY AT VALUE CITY,67
19,Monroeville Pitcairn Turtle Creek,E58930,WILLIAM PENN HWY AT JADENS II,P12
20,Wilkinsburg Wilkins Braddock and vicinity,E59010,WILLIAM PENN HWY OPP CHURCHILL BORO BLDG,"67, P12, P16, P67"
19,Monroeville Pitcairn Turtle Creek,E59050,WILLIAM PENN HWY OPP ELLIOTT RD,P12
19,Monroeville Pitcairn Turtle Creek,E59060,WM PENN HWY OPP NORTHERN PIKE,67
20,Wilkinsburg Wilkins Braddock and vicinity,E59140,WM PENN HWY OPP KINGSTON DR,"67, P67"
20,Wilkinsburg Wilkins Braddock and vicinity,E59230,WM PENN HWY OPP PENN CENTER BLVD,P67
19,Monroeville Pitcairn Turtle Creek,E59270,WM PENN HWY OPP RED LOBSTER,67
20,Wilkinsburg Wilkins Braddock and vicinity,E59360,WOOD ST AT FRANKLIN AVE,"61A, 71, P71"
20,Wilkinsburg Wilkins Braddock and vicinity,E59365,WOOD ST AT MOOSEHEART ST,"71D, 86"
20,Wilkinsburg Wilkins Braddock and vicinity,E59370,WOOD ST AT HILL AVE,"71D, 86"
20,Wilkinsburg Wilkins Braddock and vicinity,E59380,WOOD ST AT HILL AVE,"71D, 86"
20,Wilkinsburg Wilkins Braddock and vicinity,E59390,WOOD ST AT HOLMES ST,"71D, 86"
20,Wilkinsburg Wilkins Braddock and vicinity,E59430,WOOD ST AT ROSS AVE,"71, P71"
20,Wilkinsburg Wilkins Braddock and vicinity,E59450,WOOD ST AT SOUTH AVE,"61A, 71, P71"
20,Wilkinsburg Wilkins Braddock and vicinity,E59480,WOOD ST AT SUSQUEHANNA ST FS,"71D, 86"
20,Wilkinsburg Wilkins Braddock and vicinity,E59510,WOOD ST AT WALLACE AVE,"71, P71"
20,Wilkinsburg Wilkins Braddock and vicinity,E59520,WOOD ST AT WALLACE AVE,"71D, 86"
20,Wilkinsburg Wilkins Braddock and vicinity,E59540,WOOD ST OPP HOLMES ST,"71D, 86"
20,Wilkinsburg Wilkins Braddock and vicinity,E59550,WOOD ST OPP SUSQUEHANNA ST,"71D, 86"
20,Wilkinsburg Wilkins Braddock and vicinity,E59570,WOODSTOCK AVE AT #2695,"59, 61A"
20,Wilkinsburg Wilkins Braddock and vicinity,E59580,WOODSTOCK AVE AT ARDMORE ST,"59, 61A, P71"
20,Wilkinsburg Wilkins Braddock and vicinity,E59590,WOODSTOCK AVE AT ARDMORE ST,"59, 61A, P71"
20,Wilkinsburg Wilkins Braddock and vicinity,E59605,WOODSTOCK AVE OPP BELMAR PL,"59, 61A"
20,Wilkinsburg Wilkins Braddock and vicinity,E59610,WOODSTOCK AVE AT BRADDOCK AVE,"59, 61A, P71"
20,Wilkinsburg Wilkins Braddock and vicinity,E59620,WOODSTOCK AVE AT BRADDOCK AVE FS,61A
20,Wilkinsburg Wilkins Braddock and vicinity,E59630,WOODSTOCK AVE AT MELROSE ST,"59, 61A, P71"
20,Wilkinsburg Wilkins Braddock and vicinity,E59640,WOODSTOCK AVE AT MELROSE ST,"59, 61A, P71"
20,Wilkinsburg Wilkins Braddock and vicinity,E59650,WOODSTOCK AVE AT ORMOND ST,"59, 61A, P71"
20,Wilkinsburg Wilkins Braddock and vicinity,E59660,WOODSTOCK AVE AT ORMOND ST,"59, 61A, P71"
20,Wilkinsburg Wilkins Braddock and vicinity,E59670,WOODSTOCK AVE AT WOODSTOCK TERRACE,"59, 61A"
20,Wilkinsburg Wilkins Braddock and vicinity,E59680,WOODSTOCK AVE OPP WOODSTOCK TERR,"59, 61A"
20,Wilkinsburg Wilkins Braddock and vicinity,E59690,WOODSTOCK AVE AT #2690,"59, 61A"
20,Wilkinsburg Wilkins Braddock and vicinity,E59710,WOODSTOCK AVE AT VERNON AVE (BUSWAY),"59, 61A, P71"
20,Wilkinsburg Wilkins Braddock and vicinity,E59720,WOODSTOCK AVE AT WILKINS AVE FS,"59, 61A"
20,Wilkinsburg Wilkins Braddock and vicinity,E59730,WOODSTOCK AVE OPP WILKINS AVE,"59, 61A"
20,Wilkinsburg Wilkins Braddock and vicinity,E60085,YOST BLVD AT ARDMORE MANOR DR,59
20,Wilkinsburg Wilkins Braddock and vicinity,E60090,YOST BLVD AT ARDMORE BLVD,59
20,Wilkinsburg Wilkins Braddock and vicinity,E60095,YOST BLVD AT ARDMORE BLVD FS,59
20,Wilkinsburg Wilkins Braddock and vicinity,E60100,YOST BLVD AT BRINTON RD,"59, 61A, 61B"
20,Wilkinsburg Wilkins Braddock and vicinity,E60110,YOST BLVD AT BRINTON RD FS,"59, 61A, 61B"
20,Wilkinsburg Wilkins Braddock and vicinity,E60150,YOST BLVD OPP MAIN ST,"59, 61A, 61B"
20,Wilkinsburg Wilkins Braddock and vicinity,E70000,WOODSTOCK AVE AT SWISSVALE STATION STEPS,"59, 61A, P71"
15,Pittsburgh East (remainder),E70001,BUTLER ST AT 38TH ST,91
14,Strip District,E70002,16TH ST AT PENN AVE,54
42,Homewood/Lincoln-Lemington,E70003,EAST HILLS DR AT #2303,79
42,Homewood/Lincoln-Lemington,E70004,EAST HILLS DR AT #2340,79
20,Wilkinsburg Wilkins Braddock and vicinity,E70007,WOODSTOCK AVE OPP SWISSVALE STATION STEPS,61A
15,Pittsburgh East (remainder),E70013,BAUM BLVD AT AIKEN AVE,77
13,East Liberty,E70014,NEGLEY AVE AT BAUM BLVD,"71A, 71C"
21,Wilmerding Wall North Versailles,E70016,LINDEN AVE AT BEECH ST NS,"59, 68, P68"
21,Wilmerding Wall North Versailles,E70017,LINDEN AVE AT CABLE AVE,"59, 68, P68"
20,Wilkinsburg Wilkins Braddock and vicinity,E70019,EDGEWOOD AVE AT BRADDOCK AVE NS,"61A, P7"
8,Oakland,E70020,CENTRE AVE AT DITHRIDGE ST,82
42,Homewood/Lincoln-Lemington,E70021,OAKWOOD ST AT NIMICK PL,"71D, 86"
12,Downtown,E70022,CENTRE AVE OPP WASHINGTON PLAZA,"82, 83"
17,Verona Oakmont Penn Hills,E70025,ALLEGHENY AVE AT PENNSYLVANIA AVE,P78
17,Verona Oakmont Penn Hills,E70026,ALLEGHENY AVE AT ANN ST NS,P78
17,Verona Oakmont Penn Hills,E70027,ALLEGHENY AVE AT MARYLAND AVE,P78
17,Verona Oakmont Penn Hills,E70028,ALLEGHENY AVE AT DELAWARE AVE,P78
17,Verona Oakmont Penn Hills,E70029,ALLEGHENY AVE AT WASHINGTON AVE,P78
17,Verona Oakmont Penn Hills,E70030,ALLEGHENY AVE OPP COLLEGE AVE,P78
17,Verona Oakmont Penn Hills,E70031,ALLEGHENY AVE OPP CALIFORNIA AVE,P78
17,Verona Oakmont Penn Hills,E70032,ALLEGHENY AVE AT WASHINGTON AVE,P78
17,Verona Oakmont Penn Hills,E70033,ALLEGHENY AVE OPP DELAWARE AVE,P78
17,Verona Oakmont Penn Hills,E70034,ALLEGHENY AVE OPP MARYLAND AVE NS,P78
17,Verona Oakmont Penn Hills,E70035,ALLEGHENY AVE OPP ANN ST,P78
17,Verona Oakmont Penn Hills,E70036,ALLEGHENY AVE AT PENNSYLVANIA AVE,P78
17,Verona Oakmont Penn Hills,E70037,ALLEGHENY AVE OPP ARCHIE ST,P78
17,Verona Oakmont Penn Hills,E70038,ALLEGHENY AVE AT HULTON RD NS (PORTE ST STEPS),P78
17,Verona Oakmont Penn Hills,E70039,FRANKSTOWN RD OPP RITZLAND RD FS,77
15,Pittsburgh East (remainder),E70040,LIBERTY AVE AT 36TH ST,"54, 86, 87"
17,Verona Oakmont Penn Hills,E70041,FRANKSTOWN RD AT EASTWOOD RD,77
42,Homewood/Lincoln-Lemington,E70046,FRANKSTOWN AVE AT HOMEWOOD AVE,"77, 86"
6,Hazelwood,E70047,JOHNSTON AVE OPP GERTRUDE ST,"57, 93"
6,Hazelwood,E70048,JOHNSTON AVE OPP NAOMI DR,57
17,Verona Oakmont Penn Hills,E70065,WILDWOOD AVE AT #444,P78
8,Oakland,E70066,BENTLEY DR AT BURROWS ST,81
19,Monroeville Pitcairn Turtle Creek,E70075,BROADWAY BLVD AT #1010,"69, P69"
19,Monroeville Pitcairn Turtle Creek,E70076,BROADWAY BLVD OPP #1010,"69, P69"
19,Monroeville Pitcairn Turtle Creek,E70083,JAMES ST AT LOWER BOONE DR,"68, P68"
8,Oakland,E70084,ALLEQUIPPA ST AT ROBINSON ST,83
17,Verona Oakmont Penn Hills,E70087,ALLEGHENY AVE AT ARCHIE ST NS,P78
15,Pittsburgh East (remainder),E70111,COLUMBO ST AT SCHENLEY AVE,89
42,Homewood/Lincoln-Lemington,E70112,LARIMER AVE AT DEARY ST,74
42,Homewood/Lincoln-Lemington,E70116,FRANKSTOWN RD AT EAST HILLS DR NS,77
20,Wilkinsburg Wilkins Braddock and vicinity,E70117,BALDRIDGE AVE AT MIDDLE ST,61A
6,Hazelwood,E70142,GREENFIELD AVE AT #322,58
19,Monroeville Pitcairn Turtle Creek,E70143,HWY RT 286 AT ROYAL OAKS SHOPPING CENTER DRV,P12
15,Pittsburgh East (remainder),E70144,MILLVALE AVE AT MITRE WAY,54
20,Wilkinsburg Wilkins Braddock and vicinity,E70154,WOODSTOCK AVE AT BELMAR PL,"59, 61A"
