,Dist_No,District_Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
10,Waterfront (West Homestead Homestead Munhall(part)),8,0.04419889502762431,0.04954954954954955,0.03,0.05,0.030434782608695653,0.06881533101045297,0.10626029654036244,0.2569249297470895,0.0379041248606466,0.0783289817232376,0.0,0.38881987577639754,0.08503401360544217,0.11188811188811189,0.072,0.01652892561983471,0.027777777777777776,0.0,0.03365384615384615,0.04744011272898074,0.036303630363036306,0.03125,0.012987012987012988,0.037037037037037035,0.04480088495575221,0.024151436031331592,0.023255813953488372,0.03504043126684636,0,0,0,0,0,0,0,0,0,0.022727272727272728,0.015873015873015872,0.2159090909090909,0.10344827586206896,0.06179775280898876,0.03351351351351351,0.030428769017980636
11,Downtown,93,0.06309362279511534,0.10118043844856661,0.021174205967276226,0.06547619047619048,0.0410783055198973,0.10610932475884244,0.47297297297297297,0.6349818511796733,0.07728520988622989,0.5990639625585024,0.07822410147991543,0.3752808988764045,0.5020491803278688,0.3095505617977528,0.2375556454876568,0.0,0.1076923076923077,0.0,0.09191176470588236,0.21329639889196675,0.18181818181818182,0.0425531914893617,0.0,0.0,0.07865168539325842,0.04171122994652406,0.0196078431372549,0.07943349753694581,0,0,0.0,0.0,0.0,0,0,0,0,0.005291005291005291,0.0,0.502442996742671,0.6870229007633588,0.3392070484581498,0.09546593757120073,0.07700924110893308
12,East Liberty,15,0.07042253521126761,0.07571801566579635,0.02857142857142857,0.07042253521126761,0.0503968253968254,0.0812720848056537,0.14068100358422939,0.34472630173564756,0.07611548556430446,0.1935483870967742,0.046052631578947366,0.5465367965367965,0.06942392909896603,0.20408163265306123,0.13598673300165837,0.0,0.0486322188449848,0.023255813953488372,0.05322128851540616,0.06465899025686449,0.02564102564102564,0.0,0.0,0.0,0.0392156862745098,0.05405405405405406,0.0,0.05572755417956656,0,0,0,0,0.0,0,0,0,0,0.0,0.014925373134328358,0.30917874396135264,0.14586994727592267,0.08823529411764706,0.0625,0.060941828254847646
13,Strip District,16,0.0463768115942029,0.06417910447761194,0.02247191011235955,0.04895104895104895,0.028846153846153848,0.06306306306306306,0.09655172413793103,0.317199654278306,0.044967880085653104,0.12206572769953052,0.024096385542168676,0.3816631130063966,0.16751269035532995,0.11973180076628352,0.1761612620508326,0.0,0.029411764705882353,0.0,0.023255813953488372,0.055944055944055944,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.04028776978417266,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.17929759704251386,0.2765957446808511,0.13291139240506328,0.0389937106918239,0.0392156862745098
14,Pittsburgh East (remainder),72,0.043609933373712904,0.05204696921612187,0.02006079027355623,0.04431599229287091,0.02457416607523066,0.05485611510791367,0.06632277081798084,0.19212309429700733,0.0397489539748954,0.06932372270510918,0.02546916890080429,0.4108231707317073,0.10903931901094446,0.1926394479585969,0.06208806953863788,0.0,0.029661016949152543,0.0,0.032210834553440704,0.03954022988505747,0.027972027972027972,0.0196078431372549,0.0,0.0,0.027777777777777776,0.02527075812274368,0.030303030303030304,0.03279684178560583,0,0,0.0,0.0,0.0,0,0,0,0,0.022222222222222223,0.009345794392523364,0.13679102214134062,0.0963302752293578,0.08828302499188576,0.03669724770642202,0.03282828282828283
15,Hays Lincoln Place,1,0.01020408163265306,0.014814814814814815,0.0,0.0,0.0072992700729927005,0.04642166344294004,0.018633540372670808,0.0440251572327044,0.007389162561576354,0.01834862385321101,0.008009153318077803,0.18716981132075472,0.011764705882352941,0.043478260869565216,0.019704433497536946,0.0,0.0,0.0,0.009389671361502348,0.007281553398058253,0.0,0.010869565217391304,0.0,0.0,0.009838998211091235,0.007633587786259542,0.004016064257028112,0.011111111111111112,0,0,0,0,0,0,0,0,0,0.0,0.0,0.03426791277258567,0.0,0.01282051282051282,0.008,0.006220839813374806
16,Verona Oakmont Penn Hills,9,0.018255578093306288,0.0189873417721519,0.007712082262210797,0.024691358024691357,0.003885381253035454,0.014155712841253791,0.023276240667545016,0.09844134536505332,0.012030075187969926,0.03421859039836568,0.006586169045005488,0.3164684201708829,0.03574759092322039,0.08294930875576037,0.03170796695976552,0.0,0.0035946774607681733,0.0038724373576309794,0.00534376018246986,0.008124435803069232,0.0050335570469798654,0.002232142857142857,0.0,0.0,0.003683241252302026,0.0027397260273972603,0.0,0.00764525993883792,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0021691973969631237,0.09518935516888434,0.03859060402684564,0.03018515637155749,0.020156774916013438,0.011278195488721804
17,Plum Borough,0,0.0,0.009523809523809525,0.0,0.0,0.000343878954607978,0.0033112582781456954,0.0019723865877712033,0.04327176781002638,0.003257328990228013,0.008333333333333333,0.0,0.11685625646328852,0.008375209380234505,0.03333333333333333,0.006195786864931847,0.0,0.00182370820668693,0.0002902374670184697,0.0013723068478111707,0.0014005602240896359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.034129692832764506,0.01020408163265306,0.0054446460980036296,0.01098901098901099,0.0
18,Monroeville Pitcairn Turtle Creek,3,0.01171875,0.012461059190031152,0.0,0.0,0.00351288056206089,0.007680491551459293,0.013071895424836602,0.07551183195958522,0.008293838862559242,0.022099447513812154,0.008,0.18990147783251232,0.02118003025718608,0.06796116504854369,0.01888888888888889,0.0,0.006401384083044983,0.0013463480309660047,0.0014167940293845313,0.007094955778015356,0.004052684903748734,0.0025396825396825397,0.0,0.0,0.005030181086519115,0.005089058524173028,0.004366812227074236,0.007590132827324478,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0013238457719675658,0.043795620437956206,0.018867924528301886,0.01924839596700275,0.011450381679389313,0.006134969325153374
19,Wilkinsburg Wilkins Braddock and vicinity,32,0.030103480714957668,0.03585049580472922,0.015503875968992248,0.04081632653061224,0.016645859342488557,0.032330827067669175,0.05524774418236505,0.18730422553218692,0.024742841256602723,0.078796992481203,0.023568464730290457,0.4217246650481072,0.08273092369477912,0.1600418410041841,0.07524875621890548,0.011428571428571429,0.015638575152041704,0.009041591320072333,0.014934546125007683,0.01662813237114365,0.01274027715690657,0.0076384468491406746,0.0,0.0,0.01934790397706915,0.015122873345935728,0.015748031496062992,0.02172437202987101,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.005873715124816446,0.16303317535545023,0.10238907849829351,0.07289992695398101,0.029174664107485603,0.023133543638275498
