District_No,District,Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
14,Strip District,0.3066167610841778,0.5233968565789813,0.16268930484158511,0.22956489263280577,0.15413383508302364,0.17116477272727273,0.35154703587398195,0.7657318180445449,0.3460982599373247,0.5908501406457131,0.201426925094313,0.9692629750427011,0.8194804802843549,0.2537815336150211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Pittsburgh East (remainder),0.19098027210618673,0.34076732199273196,0.1129808886552657,0.16367519225981583,0.08215934519967133,0.1548782928981835,0.20304447747573753,0.5380294250524544,0.24261384270817837,0.2814688725083073,0.15077510962933724,0.8425364582461718,0.44860913616305803,0.7058682709322994,0.11726625558215845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Hays Lincoln Place,0.011363636363636364,0.014149102263856362,0.0,0.0,0.009259259259259259,0.05826613708035607,0.03282067543998732,0.0469475865434427,0.011912176891933978,0.018524235875270145,0.04929608038892819,0.18963886134246727,0.014285714285714285,0.06468253968253967,0.017574599129234363,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Verona Oakmont Penn Hills,0.01567517139633776,0.1472738470915844,0.04446338901779587,0.07402597402597402,0.015945565901300616,0.05422779584375257,0.058771859153664584,0.17180374726274905,0.09303971214282247,0.11530600586408711,0.051187926911225964,0.2949798776403805,0.15258532658429239,0.10188145088587566,0.10037401527165246,0.0,0.008379023929961111,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Plum Borough,0.0,0.004273504273504274,0.0,0.0,0.0037834950680664427,0.0,0.0020920502092050207,0.023106806741081197,0.0022624434389140274,0.0044444444444444444,0.0,0.04973513831665686,0.009122670807453416,0.012195121951219513,0.00814328855565969,0.0,0.01158006890508251,0.0004744644371224733,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Monroeville Pitcairn Turtle Creek,0.09072249589490969,0.10049773093251353,0.03571428571428571,0.07177033492822966,0.015004125037476994,0.045275681602912725,0.054180978250975294,0.18318222875925083,0.07950021980922202,0.10947224212727286,0.07760294610295826,0.18494806809673153,0.15039756323528836,0.06423076923076923,0.10092903010643342,0.0,0.02247888890256714,0.005323320531656678,0.0029478084495792437,,,,,,,,,,,,,,,,,,,,,,,,,
20,Wilkinsburg Wilkins Braddock and vicinity,0.10307207355680106,0.1380825138481206,0.06840732320869189,0.11125056269438532,0.043767918920848164,0.08582024813324833,0.10815059279612445,0.41361800458099446,0.10597643160732172,0.22354457536238143,0.09626819070393308,0.6415318446382929,0.2719408125401418,0.3301692944728461,0.2021026743233253,0.013722887041075025,0.04653645095832676,0.021539160978913372,0.04570725668806069,0.0337992099422891,,,,,,,,,,,,,,,,,,,,,,,,
21,Wilmerding Wall North Versailles,0.015151515151515152,0.01680672268907563,0.0,0.045454545454545456,0.02496008351756325,0.018362533692722373,0.07170377195137179,0.24732523252325234,0.015894915894915894,0.040740029345071364,0.07276212469902124,0.20176040954031146,0.15934958721284442,0.07407407407407407,0.08853460954077934,0.0,0.0336498303762643,0.015151515151515152,0.023775488734023707,0.049483339216303726,0.009190877769080237,,,,,,,,,,,,,,,,,,,,,,,
22,McKeesport White Oak,0.01098901098901099,0.008695652173913044,0.0,0.0,0.005681818181818182,0.050107550722604755,0.034596301858240024,0.05669105665315772,0.04827872868157115,0.032914673046251994,0.08032191600905582,0.053698800066795484,0.03595985786997023,0.03125,0.04639515442516276,0.042111592111592114,0.01908431352565023,0.0,0.017779604589974518,0.030617002493716815,0.01647016771183725,0.008744676044348046,,,,,,,,,,,,,,,,,,,,,,
23,Lincoln Liberty Port Vue,0.011111111111111112,0.007462686567164179,0.0,0.0,0.0,0.013453866395042865,0.007958579881656805,0.02559068137982829,0.008906250000000001,0.008064516129032258,0.016220485949292367,0.06434623311197618,0.008620689655172414,0.0125,0.014066951566951567,0.003105590062111801,0.006493506493506494,0.0,0.004369174792857574,0.006686321341493755,0.006328810559693238,0.022700912066474226,0.0007917786937940499,,,,,,,,,,,,,,,,,,,,,
24,Elizabeth Forward South Versailles,0.0,0.0,,,0.0,0.002890173410404624,0.0,0.024090694378837978,0.004807692307692308,0.0,0.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0007374631268436578,0.00089126559714795,0.0009523809523809524,0.022955772907302,0.00900770602911714,0.0002205122030711301,,,,,,,,,,,,,,,,,,,,
25,Munhall Whitaker Duquesne,0.025971129673181412,0.04509953538004719,0.01605640478729707,0.03571428571428571,0.02746702633856696,0.07752406124356284,0.09523186341975498,0.13474041936924835,0.03971959100486542,0.060422482307405656,0.12473999596780613,0.27560382369101166,0.08008244556608593,0.12480942480942481,0.11021848081424399,0.03839071691252148,0.03792357380781177,0.0,0.03807185356499293,0.060947211843810856,0.03385847440865791,0.04861447982229207,0.026920070039574945,0.029903442845533788,0.01680759979834971,,,,,,,,,,,,,,,,,,,
