,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
dist_origin,Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
Allegheny County West,3843.0,2116.0,7026.0,26875.0,16792.0,613.0,2358.0,2203.0,1958.0,618.0,394.0,2594.0,300.0,368.0,3204.0,184.0,680.0,220.0,525.0,1593.0,177.0,231.0,101.0,141.0,547.0,5627.0,1393.0,343423.0,30.0,33.0,43601.0,17896.0,1401.0,20.0,14.0,2.0,218.0,29229.0,662.0,623.0,335.0,567.0,38261.0,65648.0
Armstrong County East,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92599.0,7411.0,0.0,0.0,371.0,0.0,0.0,894.0,0.0,0.0,5611.0,0.0,0.0,1.0,0.0,0.0
Armstrong County West,0.0,0.0,0.0,0.0,325.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12431.0,38561.0,0.0,0.0,1808.0,0.0,0.0,36.0,0.0,0.0,550.0,0.0,1.0,2.0,0.0,0.0
Beaver County South,13.0,5.0,11.0,965.0,318.0,0.0,0.0,2.0,3.0,0.0,0.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3434.0,0.0,0.0,82007.0,34163.0,309.0,0.0,0.0,0.0,606.0,222.0,0.0,3.0,0.0,0.0,27.0,42.0
Beaver County North,10.0,10.0,10.0,2648.0,1534.0,0.0,0.0,3.0,4.0,0.0,0.0,16.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1942.0,0.0,0.0,19827.0,233805.0,3649.0,0.0,0.0,0.0,15829.0,46.0,0.0,2.0,0.0,0.0,15.0,24.0
Butler County,17.0,22.0,35.0,1027.0,18188.0,0.0,2.0,11.0,10.0,3.0,0.0,42.0,5.0,8.0,24.0,0.0,54.0,31.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,1995.0,9761.0,1982.0,29843.0,549469.0,0.0,0.0,1.0,9694.0,0.0,1996.0,7.0,3.0,13.0,26.0,12.0
Fayette County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,89.0,0.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,328477.0,3251.0,0.0,0.0,8518.0,7576.0,0.0,0.0,0.0,0.0,1.0
Greene County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3376.0,100421.0,0.0,0.0,2929.0,6.0,0.0,0.0,0.0,0.0,0.0
Indiana County,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11156.0,46.0,0.0,0.0,1.0,0.0,0.0,246182.0,0.0,0.0,7183.0,0.0,0.0,0.0,0.0,0.0
Lawrence County,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,8533.0,3121.0,0.0,0.0,0.0,236382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington County,36.0,45.0,28.0,125.0,71.0,11.0,18.0,77.0,59.0,10.0,38.0,165.0,6.0,16.0,40.0,15.0,1.0,0.0,9.0,20.0,22.0,168.0,270.0,2546.0,97.0,1654.0,5413.0,12080.0,0.0,0.0,2310.0,138.0,0.0,9848.0,2919.0,0.0,0.0,551210.0,12976.0,24.0,3.0,5.0,1071.0,24032.0
Westmoreland County,18.0,27.0,17.0,4.0,10145.0,21.0,124.0,144.0,49.0,67.0,119.0,94.0,60.0,17.0,100.0,21.0,1850.0,7530.0,5715.0,1386.0,2912.0,5001.0,767.0,5507.0,554.0,255.0,541.0,9.0,15014.0,872.0,0.0,0.0,963.0,36192.0,22.0,6271.0,0.0,14079.0,953523.0,17.0,33.0,215.0,66.0,69.0
Midtown/Uptown,440.0,604.0,1205.0,582.0,3586.0,616.0,1738.0,2140.0,1687.0,768.0,277.0,1543.0,302.0,231.0,2530.0,234.0,687.0,199.0,374.0,1600.0,189.0,282.0,257.0,18.0,746.0,2034.0,326.0,1180.0,0.0,0.0,5.0,49.0,30.0,0.0,0.0,0.0,0.0,97.0,226.0,972.0,362.0,605.0,5122.0,2745.0
Highland Park,24.0,46.0,64.0,20.0,1361.0,50.0,473.0,264.0,53.0,414.0,55.0,106.0,492.0,28.0,1115.0,15.0,531.0,80.0,94.0,542.0,55.0,40.0,11.0,5.0,96.0,90.0,9.0,59.0,1.0,8.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,4.0,167.0,30.0,1286.0,554.0,154.0,100.0
Homewood/Lincoln-Lemington,106.0,188.0,285.0,111.0,9547.0,288.0,2942.0,1127.0,290.0,1682.0,339.0,365.0,1390.0,86.0,2687.0,85.0,5720.0,883.0,938.0,6303.0,522.0,461.0,124.0,105.0,789.0,419.0,88.0,240.0,10.0,87.0,0.0,1.0,170.0,0.0,0.0,0.0,0.0,8.0,2007.0,112.0,1428.0,7603.0,721.0,427.0
Pittsburgh Southwest (remainder),1909.0,1635.0,2825.0,2467.0,6397.0,913.0,2136.0,2645.0,3969.0,804.0,882.0,3583.0,428.0,455.0,2892.0,678.0,836.0,112.0,493.0,2445.0,225.0,481.0,403.0,231.0,1814.0,13780.0,1647.0,12503.0,0.0,0.0,128.0,126.0,30.0,0.0,0.0,0.0,0.0,1422.0,148.0,808.0,416.0,747.0,44028.0,22830.0
Allegheny County Southcentral,1687.0,1633.0,2847.0,2055.0,5760.0,726.0,1927.0,2199.0,2419.0,681.0,750.0,2999.0,371.0,380.0,2694.0,642.0,573.0,35.0,325.0,1993.0,155.0,540.0,554.0,571.0,2029.0,27341.0,13720.0,27634.0,0.0,0.0,263.0,116.0,16.0,35.0,0.0,0.0,0.0,20921.0,271.0,664.0,389.0,611.0,42113.0,225841.0
