,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
dist_origin,Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
Downtown,1425.0,1527.0,2861.0,2746.0,6979.0,1232.0,3632.0,3087.0,2290.0,1745.0,558.0,938.0,779.0,444.0,5329.0,276.0,1495.0,169.0,529.0,4059.0,423.0,162.0,49.0,8.0,1643.0,3685.0,346.0,3765.0,0.0,0.0,4.0,65.0,0.0,0.0,0.0,0.0,0.0,87.0,103.0,860.0,1313.0,1471.0,11437.0,8719.0
East Liberty,5.0,15.0,13.0,6.0,84.0,13.0,179.0,255.0,20.0,171.0,14.0,122.0,56.0,19.0,433.0,1.0,101.0,4.0,12.0,283.0,9.0,5.0,1.0,0.0,20.0,14.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,19.0,227.0,276.0,40.0,22.0
Strip District,37.0,116.0,101.0,58.0,190.0,19.0,85.0,139.0,73.0,98.0,13.0,183.0,66.0,51.0,465.0,4.0,37.0,2.0,9.0,118.0,8.0,4.0,1.0,0.0,28.0,49.0,1.0,64.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,38.0,74.0,78.0,231.0,114.0
Pittsburgh East (remainder),37.0,125.0,98.0,41.0,311.0,31.0,317.0,549.0,113.0,390.0,28.0,291.0,346.0,103.0,1146.0,3.0,105.0,4.0,15.0,334.0,14.0,9.0,2.0,0.0,41.0,43.0,2.0,48.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,66.0,409.0,331.0,200.0,83.0
Hays Lincoln Place,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,11.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
Verona Oakmont Penn Hills,0.0,3.0,2.0,1.0,31.0,3.0,22.0,24.0,5.0,19.0,7.0,11.0,30.0,1.0,33.0,0.0,237.0,16.0,37.0,165.0,20.0,11.0,1.0,0.0,12.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,3.0,10.0,89.0,8.0,1.0
Plum Borough,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0
Monroeville Pitcairn Turtle Creek,1.0,2.0,1.0,1.0,17.0,6.0,24.0,31.0,7.0,13.0,19.0,7.0,18.0,1.0,22.0,0.0,88.0,29.0,138.0,256.0,97.0,49.0,3.0,1.0,35.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,137.0,4.0,4.0,47.0,9.0,2.0
Wilkinsburg Wilkins Braddock and vicinity,4.0,7.0,6.0,3.0,17.0,17.0,119.0,119.0,20.0,63.0,69.0,53.0,64.0,5.0,77.0,2.0,115.0,4.0,73.0,710.0,88.0,49.0,6.0,1.0,101.0,11.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,11.0,21.0,204.0,32.0,10.0
Wilmerding Wall North Versailles,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,1.0,7.0,0.0,3.0,0.0,3.0,0.0,6.0,0.0,21.0,55.0,45.0,43.0,5.0,1.0,22.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,0.0,0.0,6.0,1.0,0.0
