,Dist_No,District_Name,1 Pittsburgh Chateau Area,2 Pittsburgh Lower North Side,3 Pittsburgh Upper North Side,4 Allegheny County Northwest,5 Allegheny County North (remainder),6 Hazelwood,7 Squirrel Hill,8 Oakland,9 South Side,10 Shadyside,11 Waterfront (West Homestead Homestead Munhall(part)),12 Downtown,13 East Liberty,14 Strip District,15 Pittsburgh East (remainder),16 Hays Lincoln Place,17 Verona Oakmont Penn Hills,18 Plum Borough,19 Monroeville Pitcairn Turtle Creek,20 Wilkinsburg Wilkins Braddock and vicinity,21 Wilmerding Wall North Versailles,22 McKeesport White Oak,23 Lincoln Liberty Port Vue,24 Elizabeth Forward South Versailles,25 Munhall Whitaker Duquesne,26 Baldwin Brentwood Whitehall West Mifflin,27 Allegheny County Southeast (remainder),28 Allegheny County West,29 Armstrong County East,30 Armstrong County West,31 Beaver County South,32 Beaver County North,33 Butler County,34 Fayette County,35 Greene County,36 Indiana County,37 Lawrence County,38 Washington County,39 Westmoreland County,40 Midtown/Uptown,41 Highland Park,42 Homewood/Lincoln-Lemington,43 Pittsburgh Southwest (remainder),44 Allegheny County Southcentral
11,12,Downtown,0.06481481481481481,0.053544868616757564,0.0208078335373317,0.04056437389770723,0.022429906542056073,0.0611353711790393,0.09046052631578948,0.4007654455986878,0.022783556215948488,0.253448275862069,0.009779951100244499,0.08980373384394447,0.3096446700507614,0.16866359447004609,0.14630467571644043,0.0,0.04824561403508772,0.0,0.02857142857142857,0.08386075949367089,0.0,0.0,0.0,0.0,0.0064516129032258064,0.043329532497149374,0.022222222222222223,0.06283731688511951,0,0,0.0,0.0,0.0,0,0,0,0,0.006060606060606061,0.0,0.169799092676604,0.49056603773584906,0.2356164383561644,0.09042701646664807,0.06602200733577859
12,13,East Liberty,0.06796116504854369,0.0703125,0.037037037037037035,0.06944444444444445,0.04984051036682616,0.07964601769911504,0.08359133126934984,0.2887869228563235,0.06976744186046512,0.10543766578249338,0.039568345323741004,0.4841516469857054,0.02359882005899705,0.21153846153846154,0.130418394270637,0.0,0.04862236628849271,0.0,0.05099150141643059,0.061597690086621755,0.04,0.03125,0.0,0.0,0.031578947368421054,0.045454545454545456,0.0,0.05333333333333334,0,0,0,0,0.0,0,0,0,0,0.0,0.016666666666666666,0.2185430463576159,0.09959349593495935,0.06762589928057554,0.05841121495327103,0.05390835579514825
13,14,Strip District,0.043243243243243246,0.05420054200542006,0.016483516483516484,0.0449438202247191,0.0290519877675841,0.03333333333333333,0.044444444444444446,0.20356612184249628,0.04296875,0.1111111111111111,0.02,0.29114754098360657,0.17117117117117117,0.13212435233160622,0.1672077922077922,0.0,0.021739130434782608,0.0,0.03333333333333333,0.05747126436781609,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.043478260869565216,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.10822510822510822,0.2857142857142857,0.12790697674418605,0.03736263736263736,0.034210526315789476
14,15,Pittsburgh East (remainder),0.044458359423919847,0.05325633622072506,0.020703933747412008,0.043478260869565216,0.02682374263706389,0.047619047619047616,0.05783340526542943,0.1843107387661843,0.0480410447761194,0.07152061855670103,0.026470588235294117,0.3916078777189888,0.10145267104029991,0.1906519065190652,0.06269146608315099,0.0,0.029676258992805755,0.0,0.03202328966521106,0.03853853853853854,0.023255813953488372,0.01818181818181818,0.0,0.0,0.024752475247524754,0.02622950819672131,0.030303030303030304,0.03245942571785269,0,0.0,0.0,0.0,0.0,0,0,0,0,0.025,0.01,0.116600790513834,0.09417040358744394,0.08559732043170823,0.035961272475795295,0.032665181885671864
15,16,Hays Lincoln Place,0.008928571428571428,0.013157894736842105,0.0,0.0,0.0055248618784530384,0.0397196261682243,0.01744186046511628,0.031399317406143344,0.008426966292134831,0.015037593984962405,0.00852099817407182,0.22258064516129034,0.010638297872340425,0.05263157894736842,0.013636363636363636,0.0,0.0,0.0,0.0,0.00546448087431694,0.0,0.007575757575757576,0.0,0.0,0.00891089108910891,0.007596067917783735,0.005154639175257732,0.010869565217391304,0,0,0,0,0,0,0,0,0,0.0,0.0,0.042735042735042736,0.0,0.011764705882352941,0.008849557522123894,0.006230529595015576
16,17,Verona Oakmont Penn Hills,0.016666666666666666,0.018820577164366373,0.005847953216374269,0.024096385542168676,0.004309548728683125,0.014326647564469915,0.01734390485629336,0.07976132489040429,0.009267059814658803,0.0345,0.004602991944764097,0.30318393834921925,0.035081625564432097,0.07756813417190776,0.031324582338902146,0.0,0.003754990810571012,0.004257450538442274,0.005511367194839356,0.008312852392655775,0.005420054200542005,0.0,0.0,0.0,0.004597701149425287,0.0048543689320388345,0.0,0.010294117647058823,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.002162162162162162,0.06695778748180495,0.03766478342749529,0.03041958041958042,0.019138755980861243,0.010471204188481676
17,18,Plum Borough,0.0,0.007692307692307693,0.0,0.0,0.00038284839203675346,0.0,0.0025380710659898475,0.027829313543599257,0.003787878787878788,0.006329113924050633,0.0,0.09679266895761741,0.008714596949891068,0.022727272727272728,0.006482982171799027,0.0,0.0018363365086652129,0.00025906735751295336,0.001426603699330972,0.0016556291390728477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.02512562814070352,0.0125,0.0056625141562853904,0.008928571428571428,0.0
18,19,Monroeville Pitcairn Turtle Creek,0.012096774193548387,0.012618296529968454,0.0,0.02040816326530612,0.0041592394533571005,0.004878048780487805,0.01139240506329114,0.06151315789473684,0.008344923504867872,0.022304832713754646,0.008073817762399077,0.16312056737588654,0.021015761821366025,0.060810810810810814,0.01935483870967742,0.0,0.006732168850072781,0.0011231748408835642,0.0015858605591882232,0.007494097115285905,0.004684363149676556,0.002172338884866039,0.0,0.0,0.00676818950930626,0.006578947368421052,0.0,0.007619047619047619,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0013998250218722659,0.034759358288770054,0.02127659574468085,0.019189765458422176,0.012170385395537525,0.009230769230769232
19,20,Wilkinsburg Wilkins Braddock and vicinity,0.030414746543778803,0.03648068669527897,0.016917293233082706,0.04395604395604396,0.018736296591588597,0.030392156862745098,0.04022191400832178,0.1717979474876716,0.023097423748889546,0.08018068887634106,0.018277680140597538,0.40049333991119884,0.08085714285714286,0.16434540389972144,0.07463687150837989,0.0055248618784530384,0.016042780748663103,0.009708737864077669,0.015196485812655824,0.01689470553242118,0.01244907197827071,0.006840796019900498,0.0,0.0,0.016188373804267846,0.016253869969040248,0.0196078431372549,0.02197112366603892,0,0,0,0,0.0,0,0,0,0,0.0,0.006493506493506494,0.1175,0.0996309963099631,0.07409170236395367,0.028629856850715747,0.022579026593075764
20,21,Wilmerding Wall North Versailles,0.028037383177570093,0.029197080291970802,0.0,0.05,0.011461318051575931,0.016260162601626018,0.024608501118568233,0.09596255119953188,0.013477088948787063,0.024539877300613498,0.01066925315227934,0.2759295499021526,0.02586206896551724,0.1038961038961039,0.029850746268656716,0.0,0.014357501794687724,0.006578947368421052,0.008579515301609764,0.01383865387639566,0.0037446950153948574,0.0031584062196307093,0.0,0.0,0.006885998469778117,0.006305170239596469,0.0,0.011299435028248588,0.0,0,0,0,0,0,0,0,0,0.0,0.0037774725274725275,0.06878306878306878,0.01818181818181818,0.028735632183908046,0.022222222222222223,0.012903225806451613
