,route,dist_from,fromDistName,dist_to,toDistName,SPC_20,SPC_45,APC_19_curr,APC_45_proj
833,69,19,Monroeville Pitcairn Turtle Creek,42,Homewood/Lincoln-Lemington,3.0102389078498293,3.5119453924914676,2.679672138211716,3.126284161247002
798,67,19,Monroeville Pitcairn Turtle Creek,7,Squirrel Hill,4.916666666666666,6.5555555555555545,6.93283879251082,9.243785056681093
799,67,19,Monroeville Pitcairn Turtle Creek,8,Oakland,102.1574074074074,155.14814814814815,144.04898379994705,218.76957967478592
803,67,19,Monroeville Pitcairn Turtle Creek,12,Downtown,106.5221843003413,155.25255972696246,150.20361998245286,218.91680719559764
810,67,19,Monroeville Pitcairn Turtle Creek,19,Monroeville Pitcairn Turtle Creek,24.59818731117825,22.637462235649547,34.68513909485777,31.920381630774898
811,67,19,Monroeville Pitcairn Turtle Creek,20,Wilkinsburg Wilkins Braddock and vicinity,16.314393939393938,16.314393939393938,23.00441962969499,23.00441962969499
831,67,19,Monroeville Pitcairn Turtle Creek,40,Midtown/Uptown,7.101851851851852,13.111111111111114,10.014100478071185,18.487570113362192
833,67,19,Monroeville Pitcairn Turtle Creek,42,Homewood/Lincoln-Lemington,3.624573378839591,4.228668941979524,5.110898222465315,5.9627145928762015
802,59,19,Monroeville Pitcairn Turtle Creek,11,Waterfront (West Homestead Homestead Munhall(part)),7.0,8.0,12.755965531864957,14.57824632213138
810,59,19,Monroeville Pitcairn Turtle Creek,19,Monroeville Pitcairn Turtle Creek,15.842900302114804,14.580060422960724,28.870212882649906,26.568964029685056
811,59,19,Monroeville Pitcairn Turtle Creek,20,Wilkinsburg Wilkins Braddock and vicinity,10.507575757575758,10.507575757575758,19.147753455299455,19.147753455299455
812,59,19,Monroeville Pitcairn Turtle Creek,21,Wilmerding Wall North Versailles,5.391891891891892,5.135135135135136,9.825541017787872,9.357658112178926
813,59,19,Monroeville Pitcairn Turtle Creek,22,McKeesport White Oak,3.0,4.0,5.4668423707992675,7.28912316106569
816,59,19,Monroeville Pitcairn Turtle Creek,25,Munhall Whitaker Duquesne,4.0,5.0,7.28912316106569,9.111403951332113
817,59,19,Monroeville Pitcairn Turtle Creek,26,Baldwin Brentwood Whitehall West Mifflin,2.0,4.0,3.644561580532845,7.28912316106569
801,P12,19,Monroeville Pitcairn Turtle Creek,10,Shadyside,2.4648648648648654,2.4648648648648654,7.9699373760958006,7.9699373760958006
803,P12,19,Monroeville Pitcairn Turtle Creek,12,Downtown,68.6075085324232,99.99317406143342,221.83672392252993,323.3196864731013
804,P12,19,Monroeville Pitcairn Turtle Creek,13,East Liberty,2.4648648648648654,2.8756756756756765,7.9699373760958006,9.298260272111769
806,P12,19,Monroeville Pitcairn Turtle Creek,15,Pittsburgh East (remainder),3.081081081081081,3.4918918918918918,9.962421720119748,11.290744616135713
809,P12,19,Monroeville Pitcairn Turtle Creek,18,Plum Borough,1.0857142857142856,1.4476190476190474,3.5105676537564823,4.680756871675309
810,P12,19,Monroeville Pitcairn Turtle Creek,19,Monroeville Pitcairn Turtle Creek,15.842900302114804,14.580060422960724,51.22671228895412,47.14342362824038
811,P12,19,Monroeville Pitcairn Turtle Creek,20,Wilkinsburg Wilkins Braddock and vicinity,10.507575757575758,10.507575757575758,33.97538013389323,33.97538013389323
833,P12,19,Monroeville Pitcairn Turtle Creek,42,Homewood/Lincoln-Lemington,2.334470989761092,2.723549488054607,7.548319528554894,8.806372783314044
845,P67,20,Wilkinsburg Wilkins Braddock and vicinity,10,Shadyside,5.173537871524449,4.772770853307766,5.181243551574153,4.779879614480381
847,P67,20,Wilkinsburg Wilkins Braddock and vicinity,12,Downtown,61.110142630744846,70.61014263074485,61.20116259012239,70.71531228077703
848,P67,20,Wilkinsburg Wilkins Braddock and vicinity,13,East Liberty,5.155321188878236,5.6289549376797705,5.1629997362517095,5.637338934635259
850,P67,20,Wilkinsburg Wilkins Braddock and vicinity,15,Pittsburgh East (remainder),6.958333333333332,7.562499999999998,6.968697361137396,7.573763898481661
854,P67,20,Wilkinsburg Wilkins Braddock and vicinity,19,Monroeville Pitcairn Turtle Creek,18.424242424242426,17.488636363636363,18.451684248542353,17.51468465779606
855,P67,20,Wilkinsburg Wilkins Braddock and vicinity,20,Wilkinsburg Wilkins Braddock and vicinity,8.963455149501662,8.988704318936879,8.976805688192428,9.002092464778885
877,P67,20,Wilkinsburg Wilkins Braddock and vicinity,42,Homewood/Lincoln-Lemington,6.048398091342879,6.462849352419907,6.057406824179582,6.4724753860077335
845,P7,20,Wilkinsburg Wilkins Braddock and vicinity,10,Shadyside,7.896452540747843,7.284755512943432,6.852932504261433,6.322071535621462
847,P7,20,Wilkinsburg Wilkins Braddock and vicinity,12,Downtown,93.27337559429476,107.77337559429475,80.94725373120419,93.53107169237438
848,P7,20,Wilkinsburg Wilkins Braddock and vicinity,13,East Liberty,7.8686481303930975,8.591562799616492,6.828802460232343,7.456183604988672
850,P7,20,Wilkinsburg Wilkins Braddock and vicinity,15,Pittsburgh East (remainder),10.620614035087721,11.542763157894738,9.217094734716772,10.017381403299964
855,P7,20,Wilkinsburg Wilkins Braddock and vicinity,20,Wilkinsburg Wilkins Braddock and vicinity,13.68106312292359,13.719601328903655,11.87310398994132,11.906549353293268
857,P7,20,Wilkinsburg Wilkins Braddock and vicinity,22,McKeesport White Oak,3.158415841584158,3.445544554455445,2.7410296549083606,2.9902141689909385
860,P7,20,Wilkinsburg Wilkins Braddock and vicinity,25,Munhall Whitaker Duquesne,19.044776119402982,23.373134328358205,16.527999710193694,20.28436328069226
877,P7,20,Wilkinsburg Wilkins Braddock and vicinity,42,Homewood/Lincoln-Lemington,9.231765507839127,9.864349011588276,8.0117832145419,8.560770501191453
840,P16,20,Wilkinsburg Wilkins Braddock and vicinity,5,Allegheny County North (remainder),33.743589743589745,28.71794871794872,20.0997249566607,17.106148899285703
845,P16,20,Wilkinsburg Wilkins Braddock and vicinity,10,Shadyside,7.624161073825502,7.0335570469798645,4.541411917749003,4.189612402993799
847,P16,20,Wilkinsburg Wilkins Braddock and vicinity,12,Downtown,90.05705229793978,104.05705229793976,53.64343258529766,61.982680173699435
848,P16,20,Wilkinsburg Wilkins Braddock and vicinity,13,East Liberty,7.597315436241611,8.29530201342282,4.525421030714676,4.94118409360719
850,P16,20,Wilkinsburg Wilkins Braddock and vicinity,15,Pittsburgh East (remainder),10.254385964912279,11.14473684210526,6.108133102031127,6.638479988135626
852,P16,20,Wilkinsburg Wilkins Braddock and vicinity,17,Verona Oakmont Penn Hills,29.615384615384613,29.076923076923073,17.640716052388377,17.31997576052677
853,P16,20,Wilkinsburg Wilkins Braddock and vicinity,18,Plum Borough,2.121212121212121,2.121212121212121,1.2635223618790574,1.2635223618790574
855,P16,20,Wilkinsburg Wilkins Braddock and vicinity,20,Wilkinsburg Wilkins Braddock and vicinity,13.209302325581396,13.246511627906978,7.868260183076763,7.890424296268528
877,P16,20,Wilkinsburg Wilkins Braddock and vicinity,42,Homewood/Lincoln-Lemington,8.913428766189503,9.52419904567144,5.3093778102026326,5.673189565933862
842,71D,20,Wilkinsburg Wilkins Braddock and vicinity,7,Squirrel Hill,59.9447731755424,90.17554240631164,15.113792127736616,22.73583384732793
843,71D,20,Wilkinsburg Wilkins Braddock and vicinity,8,Oakland,483.8366762177651,549.8997134670489,121.98906694860709,138.64544847145802
845,71D,20,Wilkinsburg Wilkins Braddock and vicinity,10,Shadyside,35.670182166826464,32.90699904122723,8.993473323340083,8.29679581237712
