,index,dist_origin,Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
10,11,Waterfront (West Homestead Homestead Munhall(part)),8,12.0,3.0,3.0,16.0,31.0,79.0,321.0,29.0,22.0,0.0,558.0,14.0,13.0,28.0,4.0,7.0,0.0,19.0,69.0,7.0,8.0,1.0,0.0,60.0,36.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,31.0,3.0,15.0,30.0,22.0
11,12,Downtown,77,108.0,17.0,23.0,72.0,14.0,55.0,1466.0,46.0,147.0,4.0,938.0,122.0,183.0,291.0,0.0,11.0,0.0,7.0,53.0,0.0,0.0,0.0,0.0,1.0,38.0,2.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,262.0,52.0,86.0,324.0,198.0
12,13,East Liberty,14,27.0,7.0,5.0,125.0,9.0,81.0,1007.0,24.0,159.0,11.0,779.0,56.0,66.0,346.0,0.0,30.0,0.0,18.0,64.0,3.0,1.0,0.0,0.0,3.0,6.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,66.0,49.0,94.0,25.0,20.0
13,14,Strip District,8,20.0,3.0,4.0,19.0,1.0,4.0,137.0,11.0,15.0,1.0,444.0,19.0,51.0,103.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,8.0,11.0,17.0,13.0
14,15,Pittsburgh East (remainder),71,166.0,30.0,23.0,296.0,19.0,134.0,3630.0,103.0,333.0,18.0,5329.0,433.0,465.0,1146.0,0.0,33.0,0.0,22.0,77.0,3.0,1.0,0.0,0.0,5.0,16.0,1.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,295.0,105.0,230.0,104.0,88.0
15,16,Hays Lincoln Place,1,2.0,0.0,0.0,1.0,17.0,6.0,46.0,6.0,2.0,14.0,276.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,9.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,6.0,4.0
16,17,Verona Oakmont Penn Hills,8,15.0,2.0,2.0,70.0,5.0,35.0,655.0,11.0,69.0,4.0,1495.0,101.0,37.0,105.0,0.0,237.0,17.0,88.0,115.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,46.0,20.0,174.0,16.0,6.0
17,18,Plum Borough,0,1.0,0.0,0.0,2.0,0.0,1.0,45.0,1.0,2.0,0.0,169.0,4.0,2.0,4.0,0.0,16.0,8.0,29.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,1.0,0.0
18,19,Monroeville Pitcairn Turtle Creek,3,4.0,0.0,1.0,7.0,1.0,9.0,187.0,6.0,12.0,7.0,529.0,12.0,9.0,15.0,0.0,37.0,3.0,138.0,73.0,21.0,3.0,0.0,0.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,2.0,18.0,6.0,3.0
19,20,Wilkinsburg Wilkins Braddock and vicinity,33,51.0,9.0,12.0,94.0,31.0,232.0,2578.0,78.0,284.0,104.0,4059.0,283.0,118.0,334.0,1.0,165.0,5.0,256.0,710.0,55.0,11.0,0.0,0.0,44.0,21.0,3.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,188.0,54.0,467.0,70.0,45.0
20,21,Wilmerding Wall North Versailles,3,4.0,0.0,1.0,4.0,2.0,11.0,164.0,5.0,8.0,11.0,423.0,9.0,8.0,14.0,0.0,20.0,1.0,97.0,88.0,45.0,13.0,0.0,0.0,9.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,1.0,15.0,5.0,2.0
21,22,McKeesport White Oak,2,2.0,0.0,0.0,1.0,11.0,13.0,70.0,18.0,6.0,31.0,162.0,5.0,4.0,9.0,4.0,11.0,0.0,49.0,49.0,43.0,139.0,19.0,18.0,66.0,83.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,10.0,1.0,8.0,10.0,11.0
